,stfid,adm2_code,NAMELSAD,hh1620_est,persons1620_est,hhkids1620_est,kids1620_est,seniors1620_est,edlesshs1620_est,langeng1620_est,langasn1620_est,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,hispanic1620_est,noncitizens1620_est,drive1620_est,prateacs1620_est,pratekidsacs1620_est,gini1620_est,renters1620_est,noveh1620_est
30,55099,WI-55099,Price County,0.28,0.23,21.7,17.0,25.9,8.0,97.0,1.0,93.9,0.5,0.6,0.9,1.9,1.2,88.7,13.0,20.9,0.4215,2070.0,5.1
31,55101,WI-55101,Racine County,3.27,3.37,31.2,23.2,16.5,8.9,90.2,0.6,70.9,11.1,1.3,0.3,13.7,2.6,91.2,12.3,18.8,0.444,3190.0,6.3
32,55103,WI-55103,Richland County,0.32,0.3,25.2,21.6,23.1,9.6,93.9,0.7,94.0,0.6,0.7,0.2,2.5,1.4,88.1,13.4,17.5,0.4232,2450.0,6.1
33,55105,WI-55105,Rock County,2.74,2.8,29.3,23.2,16.6,8.3,92.1,0.6,81.9,4.6,1.1,0.3,9.0,2.6,92.1,12.2,18.2,0.4182,3160.0,6.1
34,55107,WI-55107,Rusk County,0.27,0.24,24.4,20.4,24.2,11.3,97.1,0.4,94.5,0.6,0.1,0.3,2.0,0.4,86.8,11.3,15.4,0.4051,2130.0,4.4
35,55109,WI-55109,St. Croix County,1.46,1.54,35.9,24.8,14.1,3.7,96.6,0.4,93.6,0.7,0.9,0.2,2.5,0.9,90.2,5.2,5.1,0.4018,2280.0,3.0
36,55111,WI-55111,Sauk County,1.12,1.1,27.6,22.8,18.4,8.8,92.5,0.5,90.6,0.7,0.5,1.2,5.3,2.1,90.2,8.9,12.1,0.4194,3000.0,5.3
37,55113,WI-55113,Sawyer County,0.33,0.28,25.0,18.8,26.1,7.9,95.5,0.2,76.8,0.4,0.5,16.2,2.8,0.5,88.8,14.9,23.2,0.4772,2660.0,4.5
38,55115,WI-55115,Shawano County,0.72,0.7,25.5,21.5,21.2,8.0,97.2,0.3,86.3,0.4,0.4,6.5,3.0,0.5,88.1,10.3,14.9,0.4081,2220.0,4.4
39,55117,WI-55117,Sheboygan County,2.01,1.98,26.6,22.1,17.9,6.3,90.6,4.2,83.5,2.0,5.9,0.3,6.6,2.4,90.9,7.0,8.5,0.4058,2970.0,5.4
40,55119,WI-55119,Taylor County,0.36,0.35,28.7,23.5,19.3,11.8,95.6,0.1,95.6,0.0,0.4,0.2,2.3,1.0,84.0,9.2,9.0,0.4241,2280.0,6.1
41,55131,WI-55131,Washington County,2.3,2.33,30.2,21.9,18.0,4.9,96.3,0.7,92.5,1.3,1.4,0.2,3.3,1.0,91.3,5.1,5.3,0.4126,2290.0,3.2
42,55015,WI-55015,Calumet County,0.84,0.86,32.7,23.8,14.9,5.1,94.8,1.6,90.5,0.9,2.4,0.5,4.4,0.9,91.9,5.4,7.3,0.4055,1890.0,3.1
43,55017,WI-55017,Chippewa County,1.1,1.11,29.4,22.1,17.8,7.1,96.9,0.8,93.3,1.5,1.4,0.3,1.8,0.6,89.1,9.9,13.4,0.4228,2670.0,3.9
44,55019,WI-55019,Clark County,0.54,0.6,32.9,29.6,16.5,17.0,83.8,0.1,92.3,0.2,0.3,0.2,5.1,1.9,81.0,12.2,18.0,0.4125,2160.0,9.1
45,55021,WI-55021,Columbia County,1.02,0.99,28.6,21.3,17.8,6.7,94.9,0.5,92.1,1.7,0.8,0.4,3.6,1.4,90.3,6.7,6.6,0.4007,2550.0,4.0
46,55023,WI-55023,Crawford County,0.28,0.28,21.8,19.9,23.4,8.2,96.3,0.2,94.1,1.9,0.5,0.2,1.7,0.7,90.5,13.8,22.9,0.4508,2560.0,7.1
47,55135,WI-55135,Waupaca County,0.95,0.88,26.6,20.4,20.6,8.2,95.8,0.1,94.1,0.6,0.5,0.5,3.2,1.1,89.4,9.2,13.3,0.4325,2620.0,4.2
48,55137,WI-55137,Waushara County,0.42,0.42,23.0,18.3,24.3,11.7,92.5,0.2,89.1,1.6,0.4,0.4,6.5,1.1,91.3,10.4,15.4,0.4294,1790.0,5.6
49,55139,WI-55139,Winnebago County,2.99,2.94,26.5,20.5,16.2,6.6,93.9,2.1,87.8,2.3,2.9,0.5,4.2,1.5,90.0,11.0,13.3,0.442,3430.0,6.0
50,55141,WI-55141,Wood County,1.38,1.26,24.6,21.6,20.5,7.6,95.3,1.4,91.9,0.8,2.1,0.4,3.2,1.2,91.0,9.7,11.8,0.4335,2860.0,5.2
51,55025,WI-55025,Dane County,9.53,9.34,26.4,20.4,13.7,3.8,89.2,3.4,78.7,4.7,5.9,0.2,6.5,5.0,78.3,11.0,9.2,0.4413,4100.0,8.1
52,55027,WI-55027,Dodge County,1.47,1.51,28.7,19.8,17.7,8.8,95.2,0.3,89.6,2.7,0.6,0.3,5.0,1.2,90.4,8.0,10.4,0.3959,3070.0,5.4
53,55031,WI-55031,Douglas County,0.8,0.75,27.0,19.7,18.6,6.3,97.2,1.0,90.9,1.2,1.2,1.8,1.7,1.2,88.2,11.5,12.8,0.4185,3150.0,6.9
54,55033,WI-55033,Dunn County,0.72,0.78,25.8,19.6,15.6,6.5,94.7,2.8,92.4,0.6,3.0,0.2,2.0,1.3,84.6,11.7,9.3,0.4266,3280.0,4.7
55,55003,WI-55003,Ashland County,0.27,0.27,24.8,22.0,19.5,6.7,96.5,0.3,82.3,0.8,0.6,9.2,3.0,0.5,83.9,16.1,21.6,0.4359,2930.0,7.8
56,55005,WI-55005,Barron County,0.8,0.78,26.9,21.7,21.9,9.4,95.9,0.4,92.8,1.4,0.6,0.7,2.6,1.3,88.1,12.1,16.8,0.4455,2410.0,5.9
57,55009,WI-55009,Brown County,4.46,4.52,29.9,23.8,14.8,7.5,89.5,2.0,80.2,2.5,3.1,2.1,9.0,3.4,90.7,9.7,12.5,0.4383,3510.0,5.4
58,55011,WI-55011,Buffalo County,0.24,0.23,25.4,20.4,22.2,8.2,97.3,0.0,95.5,0.6,0.0,0.3,2.3,1.0,86.6,8.5,11.6,0.3998,2340.0,4.7
59,55013,WI-55013,Burnett County,0.3,0.26,21.4,17.6,28.7,7.0,97.4,0.3,90.4,0.6,0.4,3.5,2.0,0.4,88.6,12.6,18.2,0.4188,1730.0,2.8
60,55121,WI-55121,Trempealeau County,0.51,0.51,28.3,25.0,18.1,8.0,92.0,0.2,89.1,0.4,0.4,0.3,8.7,3.0,87.6,7.2,8.6,0.3989,2780.0,5.0
61,55123,WI-55123,Vernon County,0.51,0.53,26.5,26.0,19.5,10.1,90.6,0.2,95.8,0.2,0.3,0.1,1.6,0.7,84.8,15.0,21.6,0.4297,2300.0,8.2
62,55125,WI-55125,Vilas County,0.46,0.38,18.9,16.5,31.1,5.4,97.2,0.1,84.7,0.4,0.6,9.2,2.6,0.5,87.3,10.5,14.6,0.4608,2140.0,4.0
63,55127,WI-55127,Walworth County,1.74,1.78,26.5,20.7,17.7,8.5,90.3,0.5,85.3,0.7,0.8,0.2,11.2,3.0,89.1,9.5,8.9,0.4326,3130.0,3.9
64,55129,WI-55129,Washburn County,0.31,0.27,22.0,18.8,26.6,7.4,98.2,0.3,94.0,0.3,0.5,0.9,1.8,0.7,87.9,12.1,16.9,0.4308,2000.0,3.2
65,55089,WI-55089,Ozaukee County,1.52,1.54,28.6,21.3,19.8,3.2,94.4,0.8,91.0,1.4,2.1,0.2,3.1,1.8,88.9,4.7,4.5,0.4731,2470.0,3.2
66,55133,WI-55133,Waukesha County,6.72,6.93,29.4,21.5,18.6,3.8,92.9,1.7,87.5,1.5,3.7,0.2,4.9,2.3,89.4,5.0,6.2,0.4468,2380.0,3.5
67,55001,WI-55001,Adams County,0.38,0.35,17.6,14.7,29.4,12.6,95.3,0.3,90.0,2.6,0.7,0.7,4.1,1.1,90.3,11.7,19.1,0.4194,1740.0,4.3
68,55007,WI-55007,Bayfield County,0.3,0.26,21.4,17.3,28.0,4.3,96.8,0.2,84.4,0.3,0.5,9.8,2.2,0.4,85.0,11.5,18.4,0.4221,1850.0,3.7
69,55029,WI-55029,Door County,0.56,0.48,23.1,16.3,29.8,4.4,95.6,0.3,93.5,0.4,0.5,0.7,3.3,1.5,88.7,8.3,12.6,0.4405,2050.0,3.8
70,55041,WI-55041,Forest County,0.17,0.16,21.7,19.8,23.3,10.2,96.3,0.4,77.6,1.0,0.5,13.8,2.7,0.5,89.1,15.7,21.8,0.4247,2180.0,4.6
71,55045,WI-55045,Green County,0.64,0.63,29.8,22.1,18.6,7.7,96.4,0.1,94.1,0.5,0.3,0.2,3.2,1.2,88.5,8.7,12.0,0.4193,2520.0,4.8
